casa,metrica,valor
arrieros,arbitrajes,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,42
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,65
arrieros,capitulo_industria,0
arrieros,capitulo_obras,0
arrieros,capitulo_poblacion,60
arrieros,capitulo_territorio,73
arrieros,comarcas,4
arrieros,comarcasIncorporadas,4
arrieros,edificio_aserradero,736
arrieros,edificio_granja,8767
arrieros,ingresosDeFeria,0
arrieros,jornadas,202
arrieros,lanaEsquilada,0
arrieros,maravedis,331
arrieros,obrasMayores,0
arrieros,obrasTerminadas,16
arrieros,poblacion,304
arrieros,prestigio,207
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,736
arrieros,producido_maravedis,6159
arrieros,producido_pan,8765
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,turnosConEscasez,14
arrieros,turnosDeDecision,200
arrieros,turnosSinDecision,5
arrieros,volumenComerciado,1519
arrieros,volumenEnRuta,0
arrieros,prestigio_sobre_mediana_mil,958
arrieros,prestigio_entrando_cada_seis,76
canteros,arbitrajes,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,15
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,115
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,16
canteros,capitulo_territorio,20
canteros,comarcas,1
canteros,comarcasIncorporadas,0
canteros,edificio_cantera,820
canteros,edificio_granja,3438
canteros,ingresosDeFeria,0
canteros,jornadas,17
canteros,lanaEsquilada,0
canteros,maravedis,85
canteros,obrasMayores,1
canteros,obrasTerminadas,4
canteros,poblacion,80
canteros,prestigio,249
canteros,primicias,1
canteros,producido_hierro,0
canteros,producido_lana,0
canteros,producido_madera,0
canteros,producido_maravedis,3359
canteros,producido_pan,3438
canteros,producido_piedra,820
canteros,producido_sal,0
canteros,pueblasFundadas,0
canteros,puesto,4
canteros,turnosConEscasez,37
canteros,turnosDeDecision,200
canteros,turnosSinDecision,12
canteros,volumenComerciado,729
canteros,volumenEnRuta,0
canteros,prestigio_sobre_mediana_mil,1153
canteros,prestigio_entrando_cada_seis,104
ferrones,arbitrajes,0
ferrones,capitulo_caminos,0
ferrones,capitulo_comercio,0
ferrones,capitulo_exploracion,10
ferrones,capitulo_ganaderia,0
ferrones,capitulo_hitos,25
ferrones,capitulo_industria,3
ferrones,capitulo_obras,0
ferrones,capitulo_poblacion,12
ferrones,capitulo_territorio,20
ferrones,comarcas,1
ferrones,comarcasIncorporadas,0
ferrones,edificio_cantera,360
ferrones,edificio_ferreria,169
ferrones,edificio_granja,2379
ferrones,edificio_lonja,37
ferrones,ingresosDeFeria,0
ferrones,jornadas,14
ferrones,lanaEsquilada,0
ferrones,maravedis,106
ferrones,obrasMayores,0
ferrones,obrasTerminadas,4
ferrones,poblacion,60
ferrones,prestigio,54
ferrones,primicias,0
ferrones,producido_hierro,169
ferrones,producido_lana,0
ferrones,producido_madera,0
ferrones,producido_maravedis,3184
ferrones,producido_pan,2416
ferrones,producido_piedra,360
ferrones,producido_sal,0
ferrones,pueblasFundadas,0
ferrones,puesto,7
ferrones,turnosConEscasez,16
ferrones,turnosDeDecision,200
ferrones,turnosSinDecision,9
ferrones,volumenComerciado,1270
ferrones,volumenEnRuta,0
ferrones,prestigio_sobre_mediana_mil,250
ferrones,prestigio_entrando_cada_seis,-23
hortelanos,arbitrajes,0
hortelanos,capitulo_caminos,0
hortelanos,capitulo_comercio,0
hortelanos,capitulo_exploracion,19
hortelanos,capitulo_ganaderia,0
hortelanos,capitulo_hitos,142
hortelanos,capitulo_industria,0
hortelanos,capitulo_obras,0
hortelanos,capitulo_poblacion,73
hortelanos,capitulo_territorio,113
hortelanos,comarcas,6
hortelanos,comarcasIncorporadas,5
hortelanos,edificio_granja,6218
hortelanos,edificio_huerta,10017
hortelanos,ingresosDeFeria,0
hortelanos,jornadas,129
hortelanos,lanaEsquilada,0
hortelanos,maravedis,1337
hortelanos,obrasMayores,0
hortelanos,obrasTerminadas,6
hortelanos,poblacion,370
hortelanos,prestigio,347
hortelanos,primicias,1
hortelanos,producido_hierro,0
hortelanos,producido_lana,0
hortelanos,producido_madera,0
hortelanos,producido_maravedis,6874
hortelanos,producido_pan,16235
hortelanos,producido_piedra,0
hortelanos,producido_sal,0
hortelanos,pueblasFundadas,0
hortelanos,puesto,2
hortelanos,turnosConEscasez,0
hortelanos,turnosDeDecision,200
hortelanos,turnosSinDecision,109
hortelanos,volumenComerciado,0
hortelanos,volumenEnRuta,0
hortelanos,prestigio_sobre_mediana_mil,1606
hortelanos,prestigio_entrando_cada_seis,305
mercaderes,arbitrajes,0
mercaderes,capitulo_caminos,0
mercaderes,capitulo_comercio,0
mercaderes,capitulo_exploracion,18
mercaderes,capitulo_ganaderia,0
mercaderes,capitulo_hitos,42
mercaderes,capitulo_industria,0
mercaderes,capitulo_obras,0
mercaderes,capitulo_poblacion,22
mercaderes,capitulo_territorio,33
mercaderes,comarcas,2
mercaderes,comarcasIncorporadas,1
mercaderes,edificio_aserradero,421
mercaderes,edificio_granja,5254
mercaderes,ingresosDeFeria,0
mercaderes,jornadas,29
mercaderes,lanaEsquilada,0
mercaderes,maravedis,337
mercaderes,obrasMayores,0
mercaderes,obrasTerminadas,5
mercaderes,poblacion,110
mercaderes,prestigio,111
mercaderes,primicias,0
mercaderes,producido_hierro,0
mercaderes,producido_lana,0
mercaderes,producido_madera,421
mercaderes,producido_maravedis,6089
mercaderes,producido_pan,5254
mercaderes,producido_piedra,0
mercaderes,producido_sal,0
mercaderes,pueblasFundadas,0
mercaderes,puesto,6
mercaderes,turnosConEscasez,4
mercaderes,turnosDeDecision,200
mercaderes,turnosSinDecision,5
mercaderes,volumenComerciado,880
mercaderes,volumenEnRuta,0
mercaderes,prestigio_sobre_mediana_mil,514
mercaderes,prestigio_entrando_cada_seis,94
mesta,arbitrajes,0
mesta,capitulo_caminos,0
mesta,capitulo_comercio,0
mesta,capitulo_exploracion,10
mesta,capitulo_ganaderia,0
mesta,capitulo_hitos,53
mesta,capitulo_industria,0
mesta,capitulo_obras,0
mesta,capitulo_poblacion,34
mesta,capitulo_territorio,53
mesta,comarcas,3
mesta,comarcasIncorporadas,2
mesta,edificio_aserradero,829
mesta,edificio_granja,4025
mesta,edificio_huerta,58
mesta,ingresosDeFeria,0
mesta,jornadas,16
mesta,lanaEsquilada,30
mesta,maravedis,456
mesta,obrasMayores,0
mesta,obrasTerminadas,11
mesta,poblacion,170
mesta,prestigio,139
mesta,primicias,0
mesta,producido_hierro,0
mesta,producido_lana,0
mesta,producido_madera,829
mesta,producido_maravedis,4244
mesta,producido_pan,4083
mesta,producido_piedra,0
mesta,producido_sal,0
mesta,pueblasFundadas,0
mesta,puesto,6
mesta,turnosConEscasez,11
mesta,turnosDeDecision,200
mesta,turnosSinDecision,23
mesta,volumenComerciado,744
mesta,volumenEnRuta,0
mesta,prestigio_sobre_mediana_mil,644
mesta,prestigio_entrando_cada_seis,31
monjes,arbitrajes,0
monjes,capitulo_caminos,0
monjes,capitulo_comercio,0
monjes,capitulo_exploracion,20
monjes,capitulo_ganaderia,0
monjes,capitulo_hitos,175
monjes,capitulo_industria,0
monjes,capitulo_obras,0
monjes,capitulo_poblacion,61
monjes,capitulo_territorio,133
monjes,comarcas,7
monjes,comarcasIncorporadas,0
monjes,edificio_granja,14259
monjes,ingresosDeFeria,0
monjes,jornadas,90
monjes,lanaEsquilada,0
monjes,maravedis,1205
monjes,obrasMayores,0
monjes,obrasTerminadas,4
monjes,poblacion,305
monjes,prestigio,362
monjes,primicias,2
monjes,producido_hierro,0
monjes,producido_lana,0
monjes,producido_madera,0
monjes,producido_maravedis,6987
monjes,producido_pan,14259
monjes,producido_piedra,0
monjes,producido_sal,0
monjes,pueblasFundadas,5
monjes,puesto,2
monjes,turnosConEscasez,27
monjes,turnosDeDecision,200
monjes,turnosSinDecision,18
monjes,volumenComerciado,1717
monjes,volumenEnRuta,0
monjes,prestigio_sobre_mediana_mil,1676
monjes,prestigio_entrando_cada_seis,335
salineros,arbitrajes,0
salineros,capitulo_caminos,0
salineros,capitulo_comercio,0
salineros,capitulo_exploracion,20
salineros,capitulo_ganaderia,0
salineros,capitulo_hitos,82
salineros,capitulo_industria,0
salineros,capitulo_obras,0
salineros,capitulo_poblacion,72
salineros,capitulo_territorio,87
salineros,comarcas,4
salineros,comarcasIncorporadas,4
salineros,edificio_granja,9646
salineros,edificio_huerta,1648
salineros,edificio_lonja,1970
salineros,edificio_salina,1575
salineros,ingresosDeFeria,0
salineros,jornadas,87
salineros,lanaEsquilada,0
salineros,maravedis,13419
salineros,obrasMayores,0
salineros,obrasTerminadas,15
salineros,poblacion,363
salineros,prestigio,225
salineros,primicias,0
salineros,producido_hierro,0
salineros,producido_lana,0
salineros,producido_madera,0
salineros,producido_maravedis,9766
salineros,producido_pan,13264
salineros,producido_piedra,0
salineros,producido_sal,1575
salineros,pueblasFundadas,0
salineros,puesto,5
salineros,turnosConEscasez,15
salineros,turnosDeDecision,200
salineros,turnosSinDecision,9
salineros,volumenComerciado,1402
salineros,volumenEnRuta,0
salineros,prestigio_sobre_mediana_mil,1042
salineros,prestigio_entrando_cada_seis,71
partida,mediana_de_prestigio,216
partida,precios_pegados,0
partida,comarcas_tocadas,168
