casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,125
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,45
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,22
arrieros,capitulo_territorio,11
arrieros,cargasArbitradas,21
arrieros,comarcas,1
arrieros,comarcasIncorporadas,0
arrieros,edificio_aserradero,714
arrieros,edificio_granja,4815
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,348
arrieros,lanaEsquilada,0
arrieros,maravedis,123
arrieros,margenDeNegocios,99
arrieros,margenNetoDeNegocios,42
arrieros,negocios,3
arrieros,negociosRentables,2
arrieros,obrasMayores,0
arrieros,obrasTerminadas,5
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,887
arrieros,ordenesEnEspera,141
arrieros,ordenesPropuestas,869
arrieros,ordenesTerminadas,886
arrieros,partidasSinObraMayor,2
arrieros,poblacion,109
arrieros,prestigio,241
arrieros,primeraObraMayor,184
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,714
arrieros,producido_maravedis,4550
arrieros,producido_pan,4815
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,trashumancias,0
arrieros,turnosConEscasez,1
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,3
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,669
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,21
arrieros,ventasFuera,4
arrieros,ventasSinCompra,669
arrieros,volumenComerciado,2002
arrieros,volumenEnRuta,45
arrieros,prestigio_sobre_mediana_mil,693
arrieros,prestigio_entrando_cada_seis,182
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,131
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,118
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,26
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,4
canteros,edificio_cantera,510
canteros,edificio_granja,5061
