criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1212","arrieros",,87.33727810650888,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 369 sobre una mediana exacta de 422,5"
"prestigio","casa y partida","1212","canteros",,112.66272189349112,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 476 sobre una mediana exacta de 422,5"
"prestigio","casa y partida","1212","ferrones",,1.6568047337278107,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 7 sobre una mediana exacta de 422,5"
"prestigio","casa y partida","1212","hortelanos",,202.84023668639054,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 857 sobre una mediana exacta de 422,5"
"prestigio","casa y partida","1212","mercaderes",,57.98816568047337,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 245 sobre una mediana exacta de 422,5"
"prestigio","casa y partida","1212","mesta",,123.55029585798816,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 522 sobre una mediana exacta de 422,5"
"prestigio","casa y partida","1212","monjes",,186.74556213017752,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 789 sobre una mediana exacta de 422,5"
"prestigio","casa y partida","1212","salineros",,79.28994082840237,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 335 sobre una mediana exacta de 422,5"
"actividad","casa y partida","1212","arrieros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","canteros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","ferrones",,3.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","7 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","ferrones",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","hortelanos",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mercaderes",,0.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
