casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,200
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,38
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,16
arrieros,capitulo_territorio,8
arrieros,cargasArbitradas,76
arrieros,comarcas,1
arrieros,comarcasIncorporadas,0
arrieros,edificio_aserradero,781
arrieros,edificio_granja,4394
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,829
arrieros,lanaEsquilada,0
arrieros,maravedis,261
arrieros,margenDeNegocios,917
arrieros,margenNetoDeNegocios,602
arrieros,negocios,15
arrieros,negociosRentables,15
arrieros,obrasMayores,0
arrieros,obrasTerminadas,8
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,1010
arrieros,ordenesEnEspera,232
arrieros,ordenesPropuestas,992
arrieros,ordenesTerminadas,1006
arrieros,partidasSinObraMayor,2
arrieros,poblacion,80
arrieros,prestigio,302
arrieros,primeraObraMayor,161
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,781
arrieros,producido_maravedis,3976
arrieros,producido_pan,4394
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,6
arrieros,trashumancias,0
arrieros,turnosConEscasez,0
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,3
arrieros,vendido_hierro,76
arrieros,vendido_lana,0
arrieros,vendido_madera,703
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,0
arrieros,ventasFuera,72
arrieros,ventasSinCompra,703
arrieros,volumenComerciado,1941
arrieros,volumenEnRuta,114
arrieros,prestigio_sobre_mediana_mil,711
arrieros,prestigio_entrando_cada_seis,239
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,181
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,135
canteros,capitulo_industria,0
canteros,capitulo_obras,160
canteros,capitulo_poblacion,27
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,133
canteros,edificio_cantera,575
canteros,edificio_granja,5465
