casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,123
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,48
arrieros,capitulo_industria,0
arrieros,capitulo_obras,0
arrieros,capitulo_poblacion,25
arrieros,capitulo_territorio,16
arrieros,cargasArbitradas,148
arrieros,comarcas,2
arrieros,comarcasIncorporadas,2
arrieros,edificio_aserradero,240
arrieros,edificio_granja,5846
arrieros,indicioDeArbitraje,1
arrieros,ingresosDeFeria,0
arrieros,jornadas,514
arrieros,lanaEsquilada,0
arrieros,maravedis,305
arrieros,margenDeNegocios,1554
arrieros,margenNetoDeNegocios,1004
arrieros,negocios,22
arrieros,negociosRentables,22
arrieros,obrasMayores,0
arrieros,obrasTerminadas,8
arrieros,ordenesCanceladas,1
arrieros,ordenesDeAlta,852
arrieros,ordenesEnEspera,147
arrieros,ordenesPropuestas,834
arrieros,ordenesTerminadas,849
arrieros,partidasSinObraMayor,3
arrieros,poblacion,129
arrieros,prestigio,180
arrieros,primeraObraMayor,0
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,240
arrieros,producido_maravedis,4902
arrieros,producido_pan,5845
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,6
arrieros,trashumancias,0
arrieros,turnosConEscasez,12
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,4
arrieros,vendido_hierro,56
arrieros,vendido_lana,0
arrieros,vendido_madera,208
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,92
arrieros,ventasFuera,92
arrieros,ventasSinCompra,208
arrieros,volumenComerciado,1570
arrieros,volumenEnRuta,268
arrieros,prestigio_sobre_mediana_mil,568
arrieros,prestigio_entrando_cada_seis,208
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,133
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,118
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,27
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,6
canteros,edificio_cantera,511
canteros,edificio_granja,5485
