casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,179
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,62
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,29
arrieros,capitulo_territorio,16
arrieros,cargasArbitradas,72
arrieros,comarcas,2
arrieros,comarcasIncorporadas,2
arrieros,edificio_aserradero,717
arrieros,edificio_granja,5767
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,655
arrieros,lanaEsquilada,0
arrieros,maravedis,225
arrieros,margenDeNegocios,754
arrieros,margenNetoDeNegocios,443
arrieros,negocios,8
arrieros,negociosRentables,8
arrieros,obrasMayores,0
arrieros,obrasTerminadas,12
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,862
arrieros,ordenesEnEspera,196
arrieros,ordenesPropuestas,845
arrieros,ordenesTerminadas,859
arrieros,partidasSinObraMayor,2
arrieros,poblacion,146
arrieros,prestigio,300
arrieros,primeraObraMayor,164
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,717
arrieros,producido_maravedis,4743
arrieros,producido_pan,5759
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,trashumancias,0
arrieros,turnosConEscasez,5
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,6
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,584
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,72
arrieros,ventasFuera,37
arrieros,ventasSinCompra,584
arrieros,volumenComerciado,1817
arrieros,volumenEnRuta,141
arrieros,prestigio_sobre_mediana_mil,940
arrieros,prestigio_entrando_cada_seis,219
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,173
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,135
canteros,capitulo_industria,0
canteros,capitulo_obras,160
canteros,capitulo_poblacion,25
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,80
canteros,edificio_cantera,553
canteros,edificio_granja,5136
