criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1212","arrieros",,85.41666666666667,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 369 sobre una mediana exacta de 432"
"prestigio","casa y partida","1212","canteros",,110.18518518518519,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 476 sobre una mediana exacta de 432"
"prestigio","casa y partida","1212","ferrones",,1.6203703703703705,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 7 sobre una mediana exacta de 432"
"prestigio","casa y partida","1212","hortelanos",,198.37962962962962,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 857 sobre una mediana exacta de 432"
"prestigio","casa y partida","1212","mercaderes",,56.94444444444444,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 246 sobre una mediana exacta de 432"
"prestigio","casa y partida","1212","mesta",,120.83333333333333,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 522 sobre una mediana exacta de 432"
"prestigio","casa y partida","1212","monjes",,182.63888888888889,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 789 sobre una mediana exacta de 432"
"prestigio","casa y partida","1212","salineros",,89.81481481481481,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 388 sobre una mediana exacta de 432"
"actividad","casa y partida","1212","arrieros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","canteros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","ferrones",,3.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","7 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","ferrones",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","hortelanos",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mercaderes",,0.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mesta",,7,"% de turnos sin proponer órdenes","< 10 %","cumple","","14 de 200 turnos en que entró el robot"
