casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,131
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,72
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,30
arrieros,capitulo_territorio,19
arrieros,cargasArbitradas,28
arrieros,comarcas,2
arrieros,comarcasIncorporadas,3
arrieros,edificio_aserradero,707
arrieros,edificio_granja,5950
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,360
arrieros,lanaEsquilada,0
arrieros,maravedis,154
arrieros,margenDeNegocios,190
arrieros,margenNetoDeNegocios,100
arrieros,negocios,3
arrieros,negociosRentables,2
arrieros,obrasMayores,0
arrieros,obrasTerminadas,10
arrieros,ordenesCanceladas,1
arrieros,ordenesDeAlta,862
arrieros,ordenesEnEspera,150
arrieros,ordenesPropuestas,845
arrieros,ordenesTerminadas,860
arrieros,partidasSinObraMayor,2
arrieros,poblacion,153
arrieros,prestigio,249
arrieros,primeraObraMayor,170
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,707
arrieros,producido_maravedis,4674
arrieros,producido_pan,5947
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,6
arrieros,trashumancias,0
arrieros,turnosConEscasez,15
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,6
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,581
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,28
arrieros,ventasFuera,10
arrieros,ventasSinCompra,581
arrieros,volumenComerciado,1721
arrieros,volumenEnRuta,57
arrieros,prestigio_sobre_mediana_mil,701
arrieros,prestigio_entrando_cada_seis,215
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,125
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,135
canteros,capitulo_industria,0
canteros,capitulo_obras,160
canteros,capitulo_poblacion,27
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,70
canteros,edificio_cantera,544
canteros,edificio_granja,5309
