criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,125.3384912959381,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 324 sobre una mediana exacta de 258,5"
"prestigio","casa y partida","1492","canteros",,154.73887814313346,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 400 sobre una mediana exacta de 258,5"
"prestigio","casa y partida","1492","ferrones",,56.479690522243715,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 146 sobre una mediana exacta de 258,5"
"prestigio","casa y partida","1492","hortelanos",,231.72147001934235,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 599 sobre una mediana exacta de 258,5"
"prestigio","casa y partida","1492","mercaderes",,74.6615087040619,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 193 sobre una mediana exacta de 258,5"
"prestigio","casa y partida","1492","mesta",,15.86073500967118,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 41 sobre una mediana exacta de 258,5"
"prestigio","casa y partida","1492","monjes",,345.8413926499033,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 894 sobre una mediana exacta de 258,5"
"prestigio","casa y partida","1492","salineros",,-7.350096711798839,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -19 sobre una mediana exacta de 258,5"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,9.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","19 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,4.5,"% de turnos sin decisión útil","< 10 %","cumple","","9 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,0.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0.5,"% de turnos sin decisión útil","< 10 %","cumple","","1 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mesta",,4.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","9 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","monjes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","monjes",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","salineros",,94,"% de turnos sin proponer órdenes","< 10 %","incumple","","188 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","salineros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
