casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,152
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,72
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,15
arrieros,capitulo_territorio,8
arrieros,cargasArbitradas,66
arrieros,comarcas,1
arrieros,comarcasIncorporadas,0
arrieros,edificio_aserradero,775
arrieros,edificio_granja,4354
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,479
arrieros,lanaEsquilada,0
arrieros,maravedis,144
arrieros,margenDeNegocios,750
arrieros,margenNetoDeNegocios,524
arrieros,negocios,13
arrieros,negociosRentables,13
arrieros,obrasMayores,0
arrieros,obrasTerminadas,8
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,975
arrieros,ordenesEnEspera,159
arrieros,ordenesPropuestas,957
arrieros,ordenesTerminadas,970
arrieros,partidasSinObraMayor,2
arrieros,poblacion,78
arrieros,prestigio,287
arrieros,primeraObraMayor,180
arrieros,primicias,1
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,775
arrieros,producido_maravedis,3972
arrieros,producido_pan,4354
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,6
arrieros,trashumancias,0
arrieros,turnosConEscasez,0
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,3
arrieros,vendido_hierro,66
arrieros,vendido_lana,0
arrieros,vendido_madera,697
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,0
arrieros,ventasFuera,60
arrieros,ventasSinCompra,697
arrieros,volumenComerciado,2026
arrieros,volumenEnRuta,110
arrieros,prestigio_sobre_mediana_mil,705
arrieros,prestigio_entrando_cada_seis,234
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,125
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,102
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,27
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,65
canteros,edificio_cantera,540
canteros,edificio_granja,5371
