criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,74.12140575079871,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 232 sobre una mediana exacta de 313"
"prestigio","casa y partida","1492","canteros",,131.94888178913737,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 413 sobre una mediana exacta de 313"
"prestigio","casa y partida","1492","ferrones",,35.46325878594249,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 111 sobre una mediana exacta de 313"
"prestigio","casa y partida","1492","hortelanos",,190.0958466453674,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 595 sobre una mediana exacta de 313"
"prestigio","casa y partida","1492","mercaderes",,62.30031948881789,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 195 sobre una mediana exacta de 313"
"prestigio","casa y partida","1492","mesta",,125.87859424920129,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 394 sobre una mediana exacta de 313"
"prestigio","casa y partida","1492","monjes",,219.16932907348243,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 686 sobre una mediana exacta de 313"
"prestigio","casa y partida","1492","salineros",,-5.7507987220447285,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -18 sobre una mediana exacta de 313"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
