criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1085","arrieros",,61.278195488721806,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 163 sobre una mediana exacta de 266"
"prestigio","casa y partida","1085","canteros",,148.87218045112783,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 396 sobre una mediana exacta de 266"
"prestigio","casa y partida","1085","ferrones",,56.390977443609025,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 150 sobre una mediana exacta de 266"
"prestigio","casa y partida","1085","hortelanos",,236.8421052631579,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 630 sobre una mediana exacta de 266"
"prestigio","casa y partida","1085","mercaderes",,79.32330827067669,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 211 sobre una mediana exacta de 266"
"prestigio","casa y partida","1085","mesta",,18.045112781954888,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 48 sobre una mediana exacta de 266"
"prestigio","casa y partida","1085","monjes",,323.30827067669173,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 860 sobre una mediana exacta de 266"
"prestigio","casa y partida","1085","salineros",,120.67669172932331,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 321 sobre una mediana exacta de 266"
"actividad","casa y partida","1085","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","ferrones",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","hortelanos",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","mercaderes",,0.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","mercaderes",,0.5,"% de turnos sin decisión útil","< 10 %","cumple","","1 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","mesta",,5,"% de turnos sin proponer órdenes","< 10 %","cumple","","10 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","monjes",,3,"% de turnos sin proponer órdenes","< 10 %","cumple","","6 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","monjes",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","salineros",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","salineros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"escasez","casa y partida","1085","arrieros",,10.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","21 de 200 turnos"
"escasez","casa y partida","1085","canteros",,4,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","8 de 200 turnos"
"escasez","casa y partida","1085","ferrones",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1085","hortelanos",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1085","mercaderes",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1085","mesta",,12,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","24 de 200 turnos"
"escasez","casa y partida","1085","monjes",,4,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","8 de 200 turnos"
"escasez","casa y partida","1085","salineros",,17,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","34 de 200 turnos"
"precios","partida","1085","",,5,"turnos seguidos de mercado abierto en un extremo","< 10 turnos","cumple","","local-bajo-aragon, sal: 5 turnos en el techo; la plaza cerrada rompe la racha"
"tierra","partida","1085","",,43.75,"% de comarcas del mapa jugado que no toca nadie","< 5 %","incumple","T-049: el mapa jugado tiene que ser el recorte de la partida","91 de 208 comarcas sin tocar"
"ausencia","casa y partida","1085","arrieros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 158 · a mano 158 · el dominio se separa en T73"
"ausencia","casa y partida","1085","arrieros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 320 · a mano 320 · el dominio se separa en T73"
"ausencia","casa y partida","1085","canteros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 321 · a mano 321 · el dominio se separa en T73"
"ausencia","casa y partida","1085","canteros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 387 · a mano 387 · el dominio se separa en T73"
"ausencia","casa y partida","1085","ferrones",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 79 · a mano 79 · el dominio se separa en T73"
"ausencia","casa y partida","1085","ferrones",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 112 · a mano 112 · el dominio se separa en T73"
"ausencia","casa y partida","1085","hortelanos",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 325 · a mano 325 · el dominio se separa en T73"
"ausencia","casa y partida","1085","hortelanos",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 625 · a mano 625 · el dominio se separa en T73"
"ausencia","casa y partida","1085","mercaderes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 123 · a mano 123 · el dominio se separa en T73"
"ausencia","casa y partida","1085","mercaderes",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 163 · a mano 163 · el dominio se separa en T73"
"ausencia","casa y partida","1085","mesta",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 42 · a mano 42 · el dominio se separa en T73"
"ausencia","casa y partida","1085","mesta",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 19 · a mano 19 · el dominio se separa en T73"
"ausencia","casa y partida","1085","monjes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 456 · a mano 456 · el dominio se separa en T73"
"ausencia","casa y partida","1085","monjes",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 678 · a mano 678 · el dominio se separa en T73"
"ausencia","casa y partida","1085","salineros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 207 · a mano 207 · el dominio se separa en T73"
"ausencia","casa y partida","1085","salineros",200,0.7,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 249 · a mano 251 · el dominio se separa en T73"
"dominio","partida","1085","",,43,"turno del primer «Un pequeño dominio»","60–100 turnos (extremos incluidos)","incumple","","4 de 8 casas lo alcanzan; la primera en T43"
"obra mayor","partida","1085","",,90,"turno de la primera obra mayor terminada","80–130 turnos (extremos incluidos)","cumple","","1 de 8 casas lo alcanzan; la primera en T90"
"prestigio","casa y partida","1085-2","arrieros",,75.18573551263002,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 253 sobre una mediana exacta de 336,5"
"prestigio","casa y partida","1085-2","canteros",,124.81426448736998,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 420 sobre una mediana exacta de 336,5"
"prestigio","casa y partida","1085-2","ferrones",,-0.8915304606240714,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -3 sobre una mediana exacta de 336,5"
"prestigio","casa y partida","1085-2","hortelanos",,197.3254086181278,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 664 sobre una mediana exacta de 336,5"
"prestigio","casa y partida","1085-2","mercaderes",,48.439821693907874,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 163 sobre una mediana exacta de 336,5"
"prestigio","casa y partida","1085-2","mesta",,21.39673105497771,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 72 sobre una mediana exacta de 336,5"
"prestigio","casa y partida","1085-2","monjes",,239.22734026745914,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 805 sobre una mediana exacta de 336,5"
"prestigio","casa y partida","1085-2","salineros",,132.83803863298664,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 447 sobre una mediana exacta de 336,5"
"actividad","casa y partida","1085-2","arrieros",,5.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","11 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085-2","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085-2","ferrones",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085-2","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085-2","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085-2","mesta",,4.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","9 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085-2","monjes",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","monjes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085-2","salineros",,3,"% de turnos sin proponer órdenes","< 10 %","cumple","","6 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085-2","salineros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"escasez","casa y partida","1085-2","arrieros",,12,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","24 de 200 turnos"
