casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,125
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,72
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,29
arrieros,capitulo_territorio,16
arrieros,cargasArbitradas,22
arrieros,comarcas,2
arrieros,comarcasIncorporadas,2
arrieros,edificio_aserradero,707
arrieros,edificio_granja,5753
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,342
arrieros,lanaEsquilada,0
arrieros,maravedis,159
arrieros,margenDeNegocios,168
arrieros,margenNetoDeNegocios,108
arrieros,negocios,2
arrieros,negociosRentables,2
arrieros,obrasMayores,0
arrieros,obrasTerminadas,9
arrieros,ordenesCanceladas,1
arrieros,ordenesDeAlta,846
arrieros,ordenesEnEspera,140
arrieros,ordenesPropuestas,828
arrieros,ordenesTerminadas,844
arrieros,partidasSinObraMayor,2
arrieros,poblacion,147
arrieros,prestigio,240
arrieros,primeraObraMayor,170
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,707
arrieros,producido_maravedis,4595
arrieros,producido_pan,5750
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,trashumancias,0
arrieros,turnosConEscasez,15
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,6
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,581
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,22
arrieros,ventasFuera,10
arrieros,ventasSinCompra,581
arrieros,volumenComerciado,1707
arrieros,volumenEnRuta,51
arrieros,prestigio_sobre_mediana_mil,913
arrieros,prestigio_entrando_cada_seis,215
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,133
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,135
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,25
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,30
canteros,edificio_cantera,526
canteros,edificio_granja,5189
