criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,71.64179104477611,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 240 sobre una mediana exacta de 335"
"prestigio","casa y partida","1492","canteros",,128.3582089552239,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 430 sobre una mediana exacta de 335"
"prestigio","casa y partida","1492","ferrones",,43.582089552238806,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 146 sobre una mediana exacta de 335"
"prestigio","casa y partida","1492","hortelanos",,181.19402985074626,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 607 sobre una mediana exacta de 335"
"prestigio","casa y partida","1492","mercaderes",,57.61194029850746,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 193 sobre una mediana exacta de 335"
"prestigio","casa y partida","1492","mesta",,259.7014925373134,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 870 sobre una mediana exacta de 335"
"prestigio","casa y partida","1492","monjes",,258.5074626865672,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 866 sobre una mediana exacta de 335"
"prestigio","casa y partida","1492","salineros",,-5.6716417910447765,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -19 sobre una mediana exacta de 335"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,9.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","19 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,4.5,"% de turnos sin decisión útil","< 10 %","cumple","","9 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,0.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0.5,"% de turnos sin decisión útil","< 10 %","cumple","","1 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
