casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,133
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,72
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,33
arrieros,capitulo_territorio,21
arrieros,cargasArbitradas,3
arrieros,comarcas,3
arrieros,comarcasIncorporadas,2
arrieros,edificio_aserradero,707
arrieros,edificio_granja,6052
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,338
arrieros,lanaEsquilada,0
arrieros,maravedis,154
arrieros,margenDeNegocios,11
arrieros,margenNetoDeNegocios,5
arrieros,negocios,0
arrieros,negociosRentables,0
arrieros,obrasMayores,0
arrieros,obrasTerminadas,10
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,861
arrieros,ordenesEnEspera,151
arrieros,ordenesPropuestas,843
arrieros,ordenesTerminadas,858
arrieros,partidasSinObraMayor,2
arrieros,poblacion,168
arrieros,prestigio,272
arrieros,primeraObraMayor,170
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,707
arrieros,producido_maravedis,4713
arrieros,producido_pan,6050
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,trashumancias,0
arrieros,turnosConEscasez,14
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,6
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,581
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,3
arrieros,ventasFuera,0
arrieros,ventasSinCompra,581
arrieros,volumenComerciado,1670
arrieros,volumenEnRuta,7
arrieros,prestigio_sobre_mediana_mil,954
arrieros,prestigio_entrando_cada_seis,223
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,125
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,118
canteros,capitulo_industria,0
canteros,capitulo_obras,160
canteros,capitulo_poblacion,27
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,70
canteros,edificio_cantera,544
canteros,edificio_granja,5309
