criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,71.1864406779661,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 231 sobre una mediana exacta de 324,5"
"prestigio","casa y partida","1492","canteros",,128.8135593220339,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 418 sobre una mediana exacta de 324,5"
"prestigio","casa y partida","1492","ferrones",,33.898305084745765,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 110 sobre una mediana exacta de 324,5"
"prestigio","casa y partida","1492","hortelanos",,190.75500770416025,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 619 sobre una mediana exacta de 324,5"
"prestigio","casa y partida","1492","mercaderes",,60.092449922958394,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 195 sobre una mediana exacta de 324,5"
"prestigio","casa y partida","1492","mesta",,133.43605546995377,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 433 sobre una mediana exacta de 324,5"
"prestigio","casa y partida","1492","monjes",,212.01848998459167,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 688 sobre una mediana exacta de 324,5"
"prestigio","casa y partida","1492","salineros",,-6.779661016949152,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -22 sobre una mediana exacta de 324,5"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
