casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,117
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,72
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,30
arrieros,capitulo_territorio,21
arrieros,cargasArbitradas,0
arrieros,comarcas,3
arrieros,comarcasIncorporadas,2
arrieros,edificio_aserradero,711
arrieros,edificio_granja,5932
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,278
arrieros,lanaEsquilada,0
arrieros,maravedis,114
arrieros,margenDeNegocios,0
arrieros,margenNetoDeNegocios,0
arrieros,negocios,0
arrieros,negociosRentables,0
arrieros,obrasMayores,0
arrieros,obrasTerminadas,8
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,792
arrieros,ordenesEnEspera,138
arrieros,ordenesPropuestas,776
arrieros,ordenesTerminadas,790
arrieros,partidasSinObraMayor,2
arrieros,poblacion,150
arrieros,prestigio,237
arrieros,primeraObraMayor,184
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,711
arrieros,producido_maravedis,4454
arrieros,producido_pan,5930
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,6
arrieros,trashumancias,0
arrieros,turnosConEscasez,29
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,14
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,612
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,0
arrieros,ventasFuera,0
arrieros,ventasSinCompra,612
arrieros,volumenComerciado,1608
arrieros,volumenEnRuta,0
arrieros,prestigio_sobre_mediana_mil,695
arrieros,prestigio_entrando_cada_seis,199
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,125
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,135
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,25
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,58
canteros,edificio_cantera,537
canteros,edificio_granja,5116
