criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1212","arrieros",,90.65300896286811,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 354 sobre una mediana exacta de 390,5"
"prestigio","casa y partida","1212","canteros",,109.34699103713189,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 427 sobre una mediana exacta de 390,5"
"prestigio","casa y partida","1212","ferrones",,-2.3047375160051216,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -9 sobre una mediana exacta de 390,5"
"prestigio","casa y partida","1212","hortelanos",,243.27784891165172,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 950 sobre una mediana exacta de 390,5"
"prestigio","casa y partida","1212","mercaderes",,25.096030729833547,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 98 sobre una mediana exacta de 390,5"
"prestigio","casa y partida","1212","mesta",,167.47759282970551,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 654 sobre una mediana exacta de 390,5"
"prestigio","casa y partida","1212","monjes",,177.20870678617158,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 692 sobre una mediana exacta de 390,5"
"prestigio","casa y partida","1212","salineros",,28.937259923175414,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 113 sobre una mediana exacta de 390,5"
"actividad","casa y partida","1212","arrieros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","ferrones",,3.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","7 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","ferrones",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
