criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1212","arrieros",,103.47107438016529,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 313 sobre una mediana exacta de 302,5"
"prestigio","casa y partida","1212","canteros",,132.23140495867767,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 400 sobre una mediana exacta de 302,5"
"prestigio","casa y partida","1212","ferrones",,-10.24793388429752,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -31 sobre una mediana exacta de 302,5"
"prestigio","casa y partida","1212","hortelanos",,365.9504132231405,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 1107 sobre una mediana exacta de 302,5"
"prestigio","casa y partida","1212","mercaderes",,50.90909090909091,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 154 sobre una mediana exacta de 302,5"
"prestigio","casa y partida","1212","mesta",,19.173553719008265,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 58 sobre una mediana exacta de 302,5"
"prestigio","casa y partida","1212","monjes",,240.9917355371901,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 729 sobre una mediana exacta de 302,5"
"prestigio","casa y partida","1212","salineros",,96.52892561983471,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 292 sobre una mediana exacta de 302,5"
"actividad","casa y partida","1212","arrieros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","ferrones",,3,"% de turnos sin proponer órdenes","< 10 %","cumple","","6 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","ferrones",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","hortelanos",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mesta",,5,"% de turnos sin proponer órdenes","< 10 %","cumple","","10 de 200 turnos en que entró el robot"
