casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,152
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,38
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,16
arrieros,capitulo_territorio,8
arrieros,cargasArbitradas,35
arrieros,comarcas,1
arrieros,comarcasIncorporadas,0
arrieros,edificio_aserradero,777
arrieros,edificio_granja,4532
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,409
arrieros,lanaEsquilada,0
arrieros,maravedis,156
arrieros,margenDeNegocios,251
arrieros,margenNetoDeNegocios,159
arrieros,negocios,6
arrieros,negociosRentables,6
arrieros,obrasMayores,0
arrieros,obrasTerminadas,8
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,947
arrieros,ordenesEnEspera,164
arrieros,ordenesPropuestas,929
arrieros,ordenesTerminadas,942
arrieros,partidasSinObraMayor,2
arrieros,poblacion,81
arrieros,prestigio,254
arrieros,primeraObraMayor,167
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,777
arrieros,producido_maravedis,3973
arrieros,producido_pan,4532
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,trashumancias,0
arrieros,turnosConEscasez,0
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,3
arrieros,vendido_hierro,35
arrieros,vendido_lana,0
arrieros,vendido_madera,699
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,0
arrieros,ventasFuera,15
arrieros,ventasSinCompra,699
arrieros,volumenComerciado,1884
arrieros,volumenEnRuta,71
arrieros,prestigio_sobre_mediana_mil,789
arrieros,prestigio_entrando_cada_seis,177
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,133
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,105
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,23
canteros,capitulo_territorio,11
canteros,cargasArbitradas,0
canteros,comarcas,1
canteros,comarcasIncorporadas,0
canteros,edificio_cantera,503
canteros,edificio_granja,5573
canteros,indicioDeArbitraje,0
