criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,82.28782287822878,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 223 sobre una mediana exacta de 271"
"prestigio","casa y partida","1492","canteros",,150.92250922509226,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 409 sobre una mediana exacta de 271"
"prestigio","casa y partida","1492","ferrones",,43.17343173431734,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 117 sobre una mediana exacta de 271"
"prestigio","casa y partida","1492","hortelanos",,229.52029520295204,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 622 sobre una mediana exacta de 271"
"prestigio","casa y partida","1492","mercaderes",,66.05166051660517,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 179 sobre una mediana exacta de 271"
"prestigio","casa y partida","1492","mesta",,117.71217712177122,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 319 sobre una mediana exacta de 271"
"prestigio","casa y partida","1492","monjes",,308.4870848708487,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 836 sobre una mediana exacta de 271"
"prestigio","casa y partida","1492","salineros",,-5.904059040590406,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -16 sobre una mediana exacta de 271"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,3.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","7 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mesta",,7.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","15 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","monjes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","monjes",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","salineros",,95,"% de turnos sin proponer órdenes","< 10 %","incumple","","190 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","salineros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"escasez","casa y partida","1492","arrieros",,12,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","24 de 200 turnos"
"escasez","casa y partida","1492","canteros",,3.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","7 de 200 turnos"
"escasez","casa y partida","1492","ferrones",,4.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","9 de 200 turnos"
