casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,123
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,48
arrieros,capitulo_industria,0
arrieros,capitulo_obras,0
arrieros,capitulo_poblacion,27
arrieros,capitulo_territorio,16
arrieros,cargasArbitradas,124
arrieros,comarcas,2
arrieros,comarcasIncorporadas,1
arrieros,edificio_aserradero,240
arrieros,edificio_granja,6042
arrieros,indicioDeArbitraje,1
arrieros,ingresosDeFeria,0
arrieros,jornadas,439
arrieros,lanaEsquilada,0
arrieros,maravedis,314
arrieros,margenDeNegocios,1242
arrieros,margenNetoDeNegocios,766
arrieros,negocios,21
arrieros,negociosRentables,21
arrieros,obrasMayores,0
arrieros,obrasTerminadas,8
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,814
arrieros,ordenesEnEspera,120
arrieros,ordenesPropuestas,796
arrieros,ordenesTerminadas,813
arrieros,partidasSinObraMayor,3
arrieros,poblacion,134
arrieros,prestigio,201
arrieros,primeraObraMayor,0
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,240
arrieros,producido_maravedis,5082
arrieros,producido_pan,6042
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,6
arrieros,trashumancias,0
arrieros,turnosConEscasez,13
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,4
arrieros,vendido_hierro,65
arrieros,vendido_lana,0
arrieros,vendido_madera,212
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,60
arrieros,ventasFuera,71
arrieros,ventasSinCompra,212
arrieros,volumenComerciado,1550
arrieros,volumenEnRuta,212
arrieros,prestigio_sobre_mediana_mil,670
arrieros,prestigio_entrando_cada_seis,198
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,115
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,135
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,26
canteros,capitulo_territorio,16
canteros,cargasArbitradas,0
canteros,comarcas,2
canteros,comarcasIncorporadas,1
canteros,edificio_aserradero,8
canteros,edificio_cantera,520
canteros,edificio_granja,5476
