criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,131.7507418397626,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 222 sobre una mediana exacta de 168,5"
"prestigio","casa y partida","1492","canteros",,194.0652818991098,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 327 sobre una mediana exacta de 168,5"
"prestigio","casa y partida","1492","ferrones",,65.28189910979229,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 110 sobre una mediana exacta de 168,5"
"prestigio","casa y partida","1492","hortelanos",,385.1632047477745,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 649 sobre una mediana exacta de 168,5"
"prestigio","casa y partida","1492","mercaderes",,68.24925816023739,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 115 sobre una mediana exacta de 168,5"
"prestigio","casa y partida","1492","mesta",,22.551928783382788,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 38 sobre una mediana exacta de 168,5"
"prestigio","casa y partida","1492","monjes",,557.8635014836796,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 940 sobre una mediana exacta de 168,5"
"prestigio","casa y partida","1492","salineros",,-13.056379821958457,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -22 sobre una mediana exacta de 168,5"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,9.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","19 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,4.5,"% de turnos sin decisión útil","< 10 %","cumple","","9 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0.5,"% de turnos sin decisión útil","< 10 %","cumple","","1 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mesta",,4.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","9 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","monjes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","monjes",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","salineros",,94,"% de turnos sin proponer órdenes","< 10 %","incumple","","188 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","salineros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"escasez","casa y partida","1492","arrieros",,4.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","9 de 200 turnos"
"escasez","casa y partida","1492","canteros",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492","ferrones",,14,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","28 de 200 turnos"
"escasez","casa y partida","1492","hortelanos",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492","mercaderes",,1,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","2 de 200 turnos"
"escasez","casa y partida","1492","mesta",,11,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","22 de 200 turnos"
"escasez","casa y partida","1492","monjes",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492","salineros",,39.5,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","79 de 200 turnos"
"precios","partida","1492","",,0,"turnos seguidos de mercado abierto en un extremo","< 10 turnos","cumple","","ningún precio se quedó más de un turno en un extremo"
"tierra","partida","1492","",,45.19230769230769,"% de comarcas del mapa jugado que no toca nadie","< 5 %","incumple","T-049: el mapa jugado tiene que ser el recorte de la partida","94 de 208 comarcas sin tocar"
"ausencia","casa y partida","1492","arrieros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 195 · a mano 195 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","arrieros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 257 · a mano 257 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","canteros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 294 · a mano 294 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","canteros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 312 · a mano 312 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","ferrones",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 34 · a mano 34 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","ferrones",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 1 · a mano 1 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","hortelanos",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 469 · a mano 469 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","hortelanos",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 689 · a mano 689 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mercaderes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 87 · a mano 87 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mercaderes",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 102 · a mano 102 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mesta",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 31 · a mano 31 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mesta",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 11 · a mano 11 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","monjes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 395 · a mano 395 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","monjes",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 702 · a mano 702 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","salineros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques -5 · a mano -5 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","salineros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques -6 · a mano -6 · el dominio coincide turno a turno"
