semilla,cadencia,turno,casa,prestigio,poblacion,comarcas,maravedis,pan,lana,sal,hierro,produccion_pan,produccion_total,escasez,obras_terminadas,obras_mayores,hitos,decidio,ordenes_propuestas,sin_ordenes
1085,1,1,arrieros,46,116,1,48,60,0,0,0,18,42,0,0,0,0,1,4,0
1085,1,2,arrieros,46,116,1,55,46,0,0,0,18,29,0,0,0,0,1,0,1
1085,1,3,arrieros,46,116,1,62,32,0,0,0,18,29,0,0,0,0,1,0,1
1085,1,4,arrieros,46,116,1,69,19,0,0,0,18,29,0,0,0,0,1,0,1
1085,1,5,arrieros,46,116,1,76,12,0,0,0,24,35,0,1,0,0,1,0,1
1085,1,6,arrieros,46,116,1,88,7,0,0,0,24,54,0,0,0,0,1,4,0
1085,1,7,arrieros,46,116,1,110,5,0,0,0,24,54,0,0,0,0,1,2,0
1085,1,8,arrieros,46,116,1,94,6,0,0,0,24,54,0,0,0,0,1,3,0
1085,1,9,arrieros,46,116,1,102,10,0,0,0,24,54,0,0,0,0,1,2,0
1085,1,10,arrieros,46,116,1,96,12,0,0,0,24,54,0,0,0,0,1,2,0
1085,1,11,arrieros,46,116,1,96,39,0,0,0,48,78,0,0,0,0,1,2,0
1085,1,12,arrieros,46,116,1,98,64,0,0,0,48,78,0,0,0,0,1,2,0
1085,1,13,arrieros,45,112,1,88,82,0,0,0,48,78,0,0,0,0,1,3,0
1085,1,14,arrieros,59,108,1,86,101,0,0,0,48,78,0,0,0,1,1,3,0
1085,1,15,arrieros,58,104,1,83,118,0,0,0,48,76,0,0,0,1,1,3,0
1085,1,16,arrieros,58,100,1,79,134,0,0,0,48,76,0,0,0,1,1,3,0
1085,1,17,arrieros,57,96,1,79,105,0,0,0,30,58,0,0,0,1,1,13,0
1085,1,18,arrieros,70,96,1,87,111,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,19,arrieros,70,96,1,86,117,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,20,arrieros,70,96,1,91,125,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,21,arrieros,70,96,1,94,107,0,0,0,30,56,0,0,0,2,1,12,0
1085,1,22,arrieros,70,96,1,93,115,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,23,arrieros,73,96,1,93,112,0,0,0,18,44,0,0,0,2,1,2,0
1085,1,24,arrieros,73,96,1,84,109,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,25,arrieros,73,96,1,83,106,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,26,arrieros,73,96,1,79,77,0,0,0,18,35,0,0,0,2,1,12,0
1085,1,27,arrieros,76,96,1,80,74,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,28,arrieros,76,96,1,79,70,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,29,arrieros,76,96,1,80,76,0,0,0,28,45,0,0,0,2,1,2,0
1085,1,30,arrieros,76,96,1,90,57,0,0,0,28,54,0,0,0,2,1,12,0
1085,1,31,arrieros,79,96,1,91,63,0,0,0,28,54,0,0,0,2,1,2,0
1085,1,32,arrieros,79,96,1,94,71,0,0,0,28,54,0,0,0,2,1,2,0
1085,1,33,arrieros,79,96,1,92,78,0,0,0,28,54,0,0,0,2,1,2,0
1085,1,34,arrieros,79,96,1,91,56,0,0,0,28,54,0,0,0,2,1,12,0
1085,1,35,arrieros,82,96,1,95,84,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,36,arrieros,82,96,1,92,110,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,37,arrieros,82,96,1,94,136,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,38,arrieros,82,96,1,95,161,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,39,arrieros,82,96,1,100,185,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,40,arrieros,82,96,1,94,201,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,41,arrieros,83,104,1,112,221,0,0,0,30,56,0,0,0,2,1,4,0
1085,1,42,arrieros,83,100,1,87,211,0,0,0,30,58,0,0,0,2,1,3,0
1085,1,43,arrieros,82,96,1,85,188,0,0,0,30,58,0,0,0,2,1,8,0
1085,1,44,arrieros,85,96,1,97,173,0,0,0,30,56,0,0,0,2,1,7,0
1085,1,45,arrieros,85,96,1,88,172,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,46,arrieros,85,96,1,93,171,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,47,arrieros,85,96,1,96,159,0,0,0,18,44,0,0,0,2,1,2,0
1085,1,48,arrieros,85,96,1,81,113,0,0,0,18,35,0,0,0,2,1,12,0
1085,1,49,arrieros,85,96,1,86,103,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,50,arrieros,88,96,1,81,98,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,51,arrieros,88,96,1,83,94,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,52,arrieros,88,96,1,78,89,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,53,arrieros,88,96,1,79,91,0,0,0,24,41,0,0,0,2,1,2,0
1085,1,54,arrieros,88,96,1,88,92,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,55,arrieros,88,96,1,87,93,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,56,arrieros,88,96,1,89,96,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,57,arrieros,88,96,1,93,99,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,58,arrieros,88,96,1,92,102,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,59,arrieros,89,104,1,104,128,0,0,0,48,74,0,0,0,2,1,4,0
1085,1,60,arrieros,89,100,1,85,146,0,0,0,48,76,0,0,0,2,1,3,0
1085,1,61,arrieros,88,96,1,91,166,0,0,0,48,76,0,0,0,2,1,3,0
1085,1,62,arrieros,88,96,1,91,187,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,63,arrieros,88,96,1,94,203,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,64,arrieros,88,96,1,97,218,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,65,arrieros,88,96,1,91,178,0,0,0,30,56,0,0,0,2,1,12,0
1085,1,66,arrieros,88,96,1,97,177,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,67,arrieros,91,96,1,91,176,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,68,arrieros,91,96,1,96,175,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,69,arrieros,91,96,1,90,174,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,70,arrieros,91,96,1,95,173,0,0,0,30,56,0,0,0,2,1,2,0
1085,1,71,arrieros,91,96,1,97,161,0,0,0,18,44,0,0,0,2,1,2,0
1085,1,72,arrieros,91,96,1,81,149,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,73,arrieros,91,96,1,86,138,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,74,arrieros,91,96,1,81,127,0,0,0,18,35,0,0,0,2,1,2,0
1085,1,75,arrieros,92,104,1,95,124,0,0,0,18,35,0,0,0,2,1,4,0
1085,1,76,arrieros,92,100,1,70,110,0,0,0,18,36,0,0,0,2,1,3,0
1085,1,77,arrieros,91,96,1,72,89,0,0,0,24,42,0,0,0,2,1,8,0
1085,1,78,arrieros,91,96,1,87,69,0,0,0,24,50,0,0,0,2,1,7,0
1085,1,79,arrieros,94,96,1,84,69,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,80,arrieros,94,96,1,90,73,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,81,arrieros,94,96,1,91,76,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,82,arrieros,94,96,1,95,79,0,0,0,24,50,0,0,0,2,1,2,0
1085,1,83,arrieros,94,96,1,94,105,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,84,arrieros,94,96,1,94,131,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,85,arrieros,94,96,1,94,156,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,86,arrieros,94,96,1,98,180,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,87,arrieros,94,96,1,92,196,0,0,0,48,74,0,0,0,2,1,2,0
1085,1,88,arrieros,95,100,1,104,217,0,0,0,48,74,0,0,0,2,1,3,0
1085,1,89,arrieros,95,100,1,94,219,0,0,0,34,62,0,0,0,2,1,4,0
1085,1,90,arrieros,94,96,1,59,135,0,0,0,34,62,0,0,0,2,1,14,0
1085,1,91,arrieros,94,96,1,59,82,0,0,0,34,60,0,0,0,2,1,7,0
1085,1,92,arrieros,144,132,2,81,89,0,0,0,34,60,0,0,0,3,1,0,1
1085,1,93,arrieros,202,172,3,72,87,0,0,0,34,66,0,0,0,4,1,3,0
1085,1,94,arrieros,202,172,3,76,77,0,0,0,34,74,0,1,0,4,1,5,0
