casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,58
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,48
arrieros,capitulo_industria,0
arrieros,capitulo_obras,0
arrieros,capitulo_poblacion,29
arrieros,capitulo_territorio,40
arrieros,cargasArbitradas,0
arrieros,comarcas,2
arrieros,comarcasIncorporadas,1
arrieros,edificio_aserradero,240
arrieros,edificio_granja,6289
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,335
arrieros,lanaEsquilada,0
arrieros,maravedis,100
arrieros,margenDeNegocios,0
arrieros,margenNetoDeNegocios,0
arrieros,negocios,0
arrieros,negociosRentables,0
arrieros,obrasMayores,0
arrieros,obrasTerminadas,3
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,703
arrieros,ordenesEnEspera,165
arrieros,ordenesPropuestas,685
arrieros,ordenesTerminadas,703
arrieros,partidasSinObraMayor,3
arrieros,poblacion,146
arrieros,prestigio,171
arrieros,primeraObraMayor,0
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,240
arrieros,producido_maravedis,5229
arrieros,producido_pan,6289
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,trashumancias,0
arrieros,turnosConEscasez,4
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,4
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,230
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,0
arrieros,ventasFuera,0
arrieros,ventasSinCompra,230
arrieros,volumenComerciado,1298
arrieros,volumenEnRuta,0
arrieros,prestigio_sobre_mediana_mil,905
arrieros,prestigio_entrando_cada_seis,141
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,51
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,82
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,21
canteros,capitulo_territorio,20
canteros,cargasArbitradas,0
canteros,comarcas,1
canteros,comarcasIncorporadas,0
canteros,edificio_cantera,503
canteros,edificio_granja,5682
canteros,indicioDeArbitraje,0
