semilla,turno,casa,prestigio,poblacion,comarcas,maravedis,pan,escasez,decidio,sin_decision
1492,1,arrieros,34,56,1,36,69,0,1,0
1492,2,arrieros,33,52,1,25,57,0,1,0
1492,3,arrieros,32,48,1,14,47,0,1,0
1492,4,arrieros,31,44,1,2,38,0,1,0
1492,5,arrieros,32,46,1,2,40,0,1,1
1492,6,arrieros,32,48,1,14,44,0,1,0
1492,7,arrieros,32,46,1,33,41,0,1,0
1492,8,arrieros,31,44,1,33,39,0,1,0
1492,9,arrieros,32,46,1,45,43,0,1,1
1492,10,arrieros,32,48,1,57,47,0,1,1
1492,11,arrieros,33,50,1,69,65,0,1,1
1492,12,arrieros,33,50,1,83,12,0,1,0
1492,13,arrieros,33,52,1,74,31,0,1,0
1492,14,arrieros,33,54,1,83,50,0,1,0
1492,15,arrieros,34,56,1,84,68,0,1,0
1492,16,arrieros,34,58,1,83,85,0,1,0
1492,17,arrieros,50,60,1,84,93,0,1,0
1492,18,arrieros,63,60,1,85,99,0,1,0
1492,19,arrieros,63,60,1,77,103,0,1,0
1492,20,arrieros,63,60,1,88,105,0,1,0
1492,21,arrieros,63,60,1,86,109,0,1,0
1492,22,arrieros,63,60,1,85,113,0,1,0
1492,23,arrieros,66,60,1,89,106,0,1,0
1492,24,arrieros,66,60,1,82,99,0,1,0
1492,25,arrieros,66,60,1,111,91,0,1,0
1492,26,arrieros,66,60,1,78,85,0,1,0
1492,27,arrieros,66,60,1,92,84,0,1,0
1492,28,arrieros,66,60,1,104,80,0,1,0
1492,29,arrieros,69,60,1,107,85,0,1,0
1492,30,arrieros,69,60,1,116,91,0,1,0
1492,31,arrieros,69,63,1,65,96,0,1,0
1492,32,arrieros,70,66,1,98,103,0,1,0
1492,33,arrieros,70,69,1,76,103,0,1,0
1492,34,arrieros,71,72,1,88,102,0,1,0
1492,35,arrieros,75,75,1,90,113,0,1,0
1492,36,arrieros,75,78,1,107,125,0,1,0
1492,37,arrieros,76,81,1,113,126,0,1,0
1492,38,arrieros,77,85,1,116,123,0,1,0
1492,39,arrieros,77,89,1,122,120,0,1,0
1492,40,arrieros,77,89,1,117,122,0,1,0
1492,41,arrieros,77,89,1,126,116,0,1,0
1492,42,arrieros,77,89,1,123,110,0,1,0
1492,43,arrieros,77,89,1,128,89,0,1,0
1492,44,arrieros,77,89,1,127,90,0,1,0
1492,45,arrieros,77,89,1,128,92,0,1,0
1492,46,arrieros,80,89,1,126,94,0,1,0
1492,47,arrieros,80,89,1,127,88,0,1,0
1492,48,arrieros,80,89,1,116,82,0,1,0
1492,49,arrieros,80,89,1,120,74,0,1,0
1492,50,arrieros,80,89,1,111,65,0,1,0
1492,51,arrieros,80,89,1,114,56,0,1,0
1492,52,arrieros,80,89,1,118,47,0,1,0
1492,53,arrieros,80,89,1,111,46,0,1,0
1492,54,arrieros,80,89,1,121,45,0,1,0
1492,55,arrieros,80,89,1,124,43,0,1,0
1492,56,arrieros,80,89,1,123,42,0,1,0
1492,57,arrieros,80,89,1,122,42,0,1,0
1492,58,arrieros,80,89,1,127,41,0,1,0
1492,59,arrieros,80,89,1,126,55,0,1,0
