criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1212","arrieros",,119.84282907662083,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 305 sobre una mediana exacta de 254,5"
"prestigio","casa y partida","1212","canteros",,157.17092337917487,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 400 sobre una mediana exacta de 254,5"
"prestigio","casa y partida","1212","ferrones",,-8.25147347740668,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -21 sobre una mediana exacta de 254,5"
"prestigio","casa y partida","1212","hortelanos",,378.38899803536344,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 963 sobre una mediana exacta de 254,5"
"prestigio","casa y partida","1212","mercaderes",,64.44007858546169,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 164 sobre una mediana exacta de 254,5"
"prestigio","casa y partida","1212","mesta",,24.75442043222004,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 63 sobre una mediana exacta de 254,5"
"prestigio","casa y partida","1212","monjes",,287.229862475442,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 731 sobre una mediana exacta de 254,5"
"prestigio","casa y partida","1212","salineros",,80.15717092337917,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 204 sobre una mediana exacta de 254,5"
"actividad","casa y partida","1212","arrieros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","ferrones",,3,"% de turnos sin proponer órdenes","< 10 %","cumple","","6 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","ferrones",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","hortelanos",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mesta",,5,"% de turnos sin proponer órdenes","< 10 %","cumple","","10 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","monjes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","monjes",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","salineros",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","salineros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"escasez","casa y partida","1212","arrieros",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1212","canteros",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1212","ferrones",,41,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","82 de 200 turnos"
"escasez","casa y partida","1212","hortelanos",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1212","mercaderes",,3.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","7 de 200 turnos"
