criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1085","arrieros",,53.333333333333336,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 164 sobre una mediana exacta de 307,5"
"prestigio","casa y partida","1085","canteros",,125.20325203252033,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 385 sobre una mediana exacta de 307,5"
"prestigio","casa y partida","1085","ferrones",,48.78048780487805,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 150 sobre una mediana exacta de 307,5"
"prestigio","casa y partida","1085","hortelanos",,195.77235772357724,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 602 sobre una mediana exacta de 307,5"
"prestigio","casa y partida","1085","mercaderes",,63.41463414634146,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 195 sobre una mediana exacta de 307,5"
"prestigio","casa y partida","1085","mesta",,136.58536585365854,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 420 sobre una mediana exacta de 307,5"
"prestigio","casa y partida","1085","monjes",,291.3821138211382,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 896 sobre una mediana exacta de 307,5"
"prestigio","casa y partida","1085","salineros",,74.79674796747967,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 230 sobre una mediana exacta de 307,5"
"actividad","casa y partida","1085","arrieros",,2.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","5 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","canteros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","ferrones",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","hortelanos",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1085","mesta",,4.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","9 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1085","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
