casa,metrica,valor
arrieros,arbitrajes,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,48
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,72
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,50
arrieros,capitulo_territorio,53
arrieros,comarcas,3
arrieros,comarcasIncorporadas,3
arrieros,edificio_aserradero,729
arrieros,edificio_granja,8609
arrieros,ingresosDeFeria,0
arrieros,jornadas,231
arrieros,lanaEsquilada,0
arrieros,maravedis,125
arrieros,obrasMayores,0
arrieros,obrasTerminadas,13
arrieros,poblacion,254
arrieros,prestigio,229
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,729
arrieros,producido_maravedis,6086
arrieros,producido_pan,8607
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,turnosConEscasez,14
arrieros,turnosDeDecision,200
arrieros,turnosSinDecision,4
arrieros,volumenComerciado,1706
arrieros,volumenEnRuta,0
arrieros,prestigio_sobre_mediana_mil,946
arrieros,prestigio_entrando_cada_seis,130
canteros,arbitrajes,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,21
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,115
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,16
canteros,capitulo_territorio,20
canteros,comarcas,1
canteros,comarcasIncorporadas,0
canteros,edificio_cantera,820
canteros,edificio_granja,3438
canteros,ingresosDeFeria,0
canteros,jornadas,34
canteros,lanaEsquilada,0
canteros,maravedis,83
canteros,obrasMayores,1
canteros,obrasTerminadas,4
canteros,poblacion,80
canteros,prestigio,255
canteros,primicias,1
canteros,producido_hierro,0
canteros,producido_lana,0
canteros,producido_madera,0
canteros,producido_maravedis,3369
canteros,producido_pan,3438
canteros,producido_piedra,820
canteros,producido_sal,0
canteros,pueblasFundadas,0
canteros,puesto,5
canteros,turnosConEscasez,37
canteros,turnosDeDecision,200
canteros,turnosSinDecision,9
canteros,volumenComerciado,731
canteros,volumenEnRuta,0
canteros,prestigio_sobre_mediana_mil,1054
canteros,prestigio_entrando_cada_seis,333
ferrones,arbitrajes,0
ferrones,capitulo_caminos,0
ferrones,capitulo_comercio,0
ferrones,capitulo_exploracion,22
ferrones,capitulo_ganaderia,0
ferrones,capitulo_hitos,25
ferrones,capitulo_industria,7
ferrones,capitulo_obras,0
ferrones,capitulo_poblacion,12
ferrones,capitulo_territorio,20
ferrones,comarcas,1
ferrones,comarcasIncorporadas,0
ferrones,edificio_cantera,370
ferrones,edificio_ferreria,241
ferrones,edificio_granja,2504
ferrones,edificio_lonja,24
ferrones,ingresosDeFeria,0
ferrones,jornadas,40
ferrones,lanaEsquilada,0
ferrones,maravedis,88
ferrones,obrasMayores,0
ferrones,obrasTerminadas,4
ferrones,poblacion,60
ferrones,prestigio,69
ferrones,primicias,0
ferrones,producido_hierro,241
ferrones,producido_lana,0
ferrones,producido_madera,0
ferrones,producido_maravedis,3177
ferrones,producido_pan,2528
ferrones,producido_piedra,370
ferrones,producido_sal,0
ferrones,pueblasFundadas,0
ferrones,puesto,7
ferrones,turnosConEscasez,16
ferrones,turnosDeDecision,200
ferrones,turnosSinDecision,10
ferrones,volumenComerciado,1280
ferrones,volumenEnRuta,0
ferrones,prestigio_sobre_mediana_mil,285
ferrones,prestigio_entrando_cada_seis,6
hortelanos,arbitrajes,0
hortelanos,capitulo_caminos,0
hortelanos,capitulo_comercio,0
hortelanos,capitulo_exploracion,49
hortelanos,capitulo_ganaderia,0
hortelanos,capitulo_hitos,108
hortelanos,capitulo_industria,0
hortelanos,capitulo_obras,0
hortelanos,capitulo_poblacion,64
hortelanos,capitulo_territorio,107
hortelanos,comarcas,5
hortelanos,comarcasIncorporadas,7
hortelanos,edificio_granja,6318
hortelanos,edificio_huerta,11039
hortelanos,ingresosDeFeria,0
hortelanos,jornadas,176
hortelanos,lanaEsquilada,0
hortelanos,maravedis,992
hortelanos,obrasMayores,0
hortelanos,obrasTerminadas,6
hortelanos,poblacion,323
hortelanos,prestigio,261
hortelanos,primicias,1
hortelanos,producido_hierro,0
hortelanos,producido_lana,0
hortelanos,producido_madera,0
hortelanos,producido_maravedis,8606
hortelanos,producido_pan,17346
hortelanos,producido_piedra,0
hortelanos,producido_sal,0
hortelanos,pueblasFundadas,0
hortelanos,puesto,5
hortelanos,turnosConEscasez,8
hortelanos,turnosDeDecision,200
hortelanos,turnosSinDecision,107
hortelanos,volumenComerciado,0
hortelanos,volumenEnRuta,0
hortelanos,prestigio_sobre_mediana_mil,1079
hortelanos,prestigio_entrando_cada_seis,389
mercaderes,arbitrajes,0
mercaderes,capitulo_caminos,0
mercaderes,capitulo_comercio,0
mercaderes,capitulo_exploracion,37
mercaderes,capitulo_ganaderia,0
mercaderes,capitulo_hitos,42
mercaderes,capitulo_industria,0
mercaderes,capitulo_obras,0
mercaderes,capitulo_poblacion,37
mercaderes,capitulo_territorio,53
mercaderes,comarcas,3
mercaderes,comarcasIncorporadas,2
mercaderes,edificio_aserradero,421
mercaderes,edificio_granja,6643
mercaderes,ingresosDeFeria,0
mercaderes,jornadas,78
mercaderes,lanaEsquilada,0
mercaderes,maravedis,118
mercaderes,obrasMayores,0
mercaderes,obrasTerminadas,9
mercaderes,poblacion,186
mercaderes,prestigio,155
mercaderes,primicias,0
mercaderes,producido_hierro,0
mercaderes,producido_lana,0
mercaderes,producido_madera,421
mercaderes,producido_maravedis,6512
mercaderes,producido_pan,6643
mercaderes,producido_piedra,0
mercaderes,producido_sal,0
mercaderes,pueblasFundadas,0
mercaderes,puesto,6
mercaderes,turnosConEscasez,7
mercaderes,turnosDeDecision,200
mercaderes,turnosSinDecision,5
mercaderes,volumenComerciado,884
mercaderes,volumenEnRuta,0
mercaderes,prestigio_sobre_mediana_mil,640
mercaderes,prestigio_entrando_cada_seis,116
mesta,arbitrajes,0
mesta,capitulo_caminos,0
mesta,capitulo_comercio,0
mesta,capitulo_exploracion,17
mesta,capitulo_ganaderia,0
mesta,capitulo_hitos,40
mesta,capitulo_industria,0
mesta,capitulo_obras,40
mesta,capitulo_poblacion,15
mesta,capitulo_territorio,27
mesta,comarcas,1
mesta,comarcasIncorporadas,0
mesta,edificio_aserradero,833
mesta,edificio_granja,2562
mesta,ingresosDeFeria,0
mesta,jornadas,33
mesta,lanaEsquilada,29
mesta,maravedis,84
mesta,obrasMayores,0
mesta,obrasTerminadas,5
mesta,poblacion,76
mesta,prestigio,129
mesta,primicias,0
mesta,producido_hierro,0
mesta,producido_lana,0
mesta,producido_madera,833
mesta,producido_maravedis,3250
mesta,producido_pan,2562
mesta,producido_piedra,0
mesta,producido_sal,0
mesta,pueblasFundadas,0
mesta,puesto,6
mesta,turnosConEscasez,10
mesta,turnosDeDecision,200
mesta,turnosSinDecision,31
mesta,volumenComerciado,776
mesta,volumenEnRuta,0
mesta,prestigio_sobre_mediana_mil,533
mesta,prestigio_entrando_cada_seis,65
monjes,arbitrajes,0
monjes,capitulo_caminos,0
monjes,capitulo_comercio,0
monjes,capitulo_exploracion,66
monjes,capitulo_ganaderia,0
monjes,capitulo_hitos,175
monjes,capitulo_industria,0
monjes,capitulo_obras,0
monjes,capitulo_poblacion,255
monjes,capitulo_territorio,340
monjes,comarcas,17
monjes,comarcasIncorporadas,6
monjes,edificio_aserradero,1943
monjes,edificio_granja,29602
monjes,edificio_huerta,3726
monjes,ingresosDeFeria,0
monjes,jornadas,262
monjes,lanaEsquilada,0
monjes,maravedis,6790
monjes,obrasMayores,0
monjes,obrasTerminadas,65
monjes,poblacion,1277
monjes,prestigio,824
monjes,primicias,2
monjes,producido_hierro,0
monjes,producido_lana,0
monjes,producido_madera,1943
monjes,producido_maravedis,13132
monjes,producido_pan,33328
monjes,producido_piedra,0
monjes,producido_sal,0
monjes,pueblasFundadas,10
monjes,puesto,1
monjes,turnosConEscasez,12
monjes,turnosDeDecision,200
monjes,turnosSinDecision,5
monjes,volumenComerciado,5951
monjes,volumenEnRuta,0
monjes,prestigio_sobre_mediana_mil,3405
monjes,prestigio_entrando_cada_seis,491
salineros,arbitrajes,0
salineros,capitulo_caminos,0
salineros,capitulo_comercio,0
salineros,capitulo_exploracion,55
salineros,capitulo_ganaderia,0
salineros,capitulo_hitos,142
salineros,capitulo_industria,0
salineros,capitulo_obras,0
salineros,capitulo_poblacion,183
salineros,capitulo_territorio,233
salineros,comarcas,12
salineros,comarcasIncorporadas,11
salineros,edificio_aserradero,167
salineros,edificio_granja,16214
salineros,edificio_huerta,3793
salineros,edificio_lonja,1026
salineros,edificio_salina,2155
salineros,ingresosDeFeria,546
salineros,jornadas,236
salineros,lanaEsquilada,0
salineros,maravedis,782
salineros,obrasMayores,0
salineros,obrasTerminadas,40
salineros,poblacion,917
salineros,prestigio,612
salineros,primicias,1
salineros,producido_hierro,0
salineros,producido_lana,0
salineros,producido_madera,167
salineros,producido_maravedis,16243
salineros,producido_pan,21033
salineros,producido_piedra,0
salineros,producido_sal,2155
salineros,pueblasFundadas,0
salineros,puesto,2
salineros,turnosConEscasez,1
salineros,turnosDeDecision,200
salineros,turnosSinDecision,19
salineros,volumenComerciado,2624
salineros,volumenEnRuta,0
salineros,prestigio_sobre_mediana_mil,2529
salineros,prestigio_entrando_cada_seis,297
partida,mediana_de_prestigio,242
partida,precios_pegados,0
partida,comarcas_tocadas,243
