semilla,cadencia,turno,casa,prestigio,poblacion,comarcas,maravedis,pan,lana,sal,hierro,produccion_pan,produccion_total,escasez,obras_terminadas,obras_mayores,hitos,decidio,ordenes_propuestas,sin_ordenes
1492,1,1,arrieros,34,56,1,36,69,0,0,0,12,24,0,0,0,0,1,4,0
1492,1,2,arrieros,33,52,1,25,57,0,0,0,12,17,0,0,0,0,1,2,0
1492,1,3,arrieros,32,48,1,14,26,0,0,0,12,17,0,0,0,0,1,4,0
1492,1,4,arrieros,32,48,1,14,24,0,0,0,12,16,0,0,0,0,1,0,1
1492,1,5,arrieros,32,48,1,14,25,0,0,0,16,20,0,1,0,0,1,0,1
1492,1,6,arrieros,45,48,1,26,28,0,0,0,16,32,0,0,0,1,1,3,0
1492,1,7,arrieros,46,50,1,57,31,0,0,0,16,32,0,0,0,1,1,3,0
1492,1,8,arrieros,46,52,1,71,34,0,0,0,16,34,0,0,0,1,1,0,1
1492,1,9,arrieros,46,50,1,62,30,0,0,0,16,34,0,0,0,1,1,3,0
1492,1,10,arrieros,46,50,1,83,26,0,0,0,16,34,0,0,0,1,1,1,0
1492,1,11,arrieros,46,52,1,74,45,0,0,0,32,50,0,0,0,1,1,3,0
1492,1,12,arrieros,46,50,1,71,43,0,0,0,32,50,0,0,0,1,1,6,0
1492,1,13,arrieros,48,48,1,72,56,0,0,0,32,50,0,0,0,1,1,3,0
1492,1,14,arrieros,49,50,1,79,74,0,0,0,32,48,0,0,0,1,1,4,0
1492,1,15,arrieros,49,52,1,82,92,0,0,0,32,50,0,0,0,1,1,3,0
1492,1,16,arrieros,64,54,1,79,109,0,0,0,32,50,0,0,0,2,1,2,0
1492,1,17,arrieros,65,56,1,83,112,0,0,0,20,38,0,0,0,2,1,2,0
1492,1,18,arrieros,65,58,1,70,114,0,0,0,20,38,0,0,0,2,1,2,0
1492,1,19,arrieros,66,60,1,84,114,0,0,0,20,38,0,1,0,2,1,4,0
1492,1,20,arrieros,66,60,1,79,102,0,0,0,20,46,0,0,0,2,1,5,0
1492,1,21,arrieros,66,60,1,87,103,0,0,0,20,46,0,0,0,2,1,2,0
1492,1,22,arrieros,66,60,1,82,104,0,0,0,20,46,0,0,0,2,1,2,0
1492,1,23,arrieros,69,60,1,84,97,0,0,0,12,38,0,0,0,2,1,3,0
1492,1,24,arrieros,69,60,1,110,91,0,0,0,12,32,0,0,0,2,1,5,0
1492,1,25,arrieros,69,60,1,103,85,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,26,arrieros,69,60,1,110,79,0,0,0,12,32,0,0,0,2,1,4,0
1492,1,27,arrieros,69,60,1,109,77,0,0,0,12,32,0,0,0,2,1,4,0
1492,1,28,arrieros,69,60,1,113,77,0,0,0,12,32,0,0,0,2,1,4,0
1492,1,29,arrieros,69,60,1,111,80,0,0,0,16,36,0,0,0,2,1,4,0
1492,1,30,arrieros,69,60,1,120,83,0,0,0,16,42,0,0,0,2,1,4,0
1492,1,31,arrieros,69,60,1,118,74,0,0,0,16,42,0,0,0,2,1,7,0
1492,1,32,arrieros,69,60,1,121,78,0,0,0,16,42,0,0,0,2,1,4,0
1492,1,33,arrieros,72,60,1,120,82,0,0,0,16,42,0,0,0,2,1,4,0
1492,1,34,arrieros,72,60,1,122,86,0,0,0,16,42,0,0,0,2,1,6,0
1492,1,35,arrieros,72,60,1,120,105,0,0,0,32,58,0,0,0,2,1,4,0
1492,1,36,arrieros,72,60,1,121,124,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,37,arrieros,72,60,1,119,136,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,38,arrieros,72,60,1,119,147,0,0,0,32,58,0,0,0,2,1,5,0
1492,1,39,arrieros,72,60,1,117,158,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,40,arrieros,72,60,1,116,168,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,41,arrieros,72,60,1,114,167,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,42,arrieros,72,60,1,118,166,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,43,arrieros,72,60,1,119,165,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,44,arrieros,72,60,1,122,164,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,45,arrieros,72,60,1,121,163,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,46,arrieros,72,60,1,124,162,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,47,arrieros,72,60,1,121,153,0,0,0,12,38,0,0,0,2,1,3,0
1492,1,48,arrieros,72,60,1,112,144,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,49,arrieros,72,60,1,114,136,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,50,arrieros,72,60,1,112,128,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,51,arrieros,72,60,1,106,120,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,52,arrieros,72,60,1,110,113,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,53,arrieros,72,60,1,107,110,0,0,0,16,36,0,0,0,2,1,3,0
1492,1,54,arrieros,72,60,1,117,107,0,0,0,16,42,0,0,0,2,1,3,0
1492,1,55,arrieros,72,60,1,113,104,0,0,0,16,42,0,0,0,2,1,3,0
1492,1,56,arrieros,72,60,1,116,101,0,0,0,16,42,0,0,0,2,1,3,0
1492,1,57,arrieros,72,60,1,122,98,0,0,0,16,42,0,0,0,2,1,3,0
1492,1,58,arrieros,72,60,1,119,96,0,0,0,16,42,0,0,0,2,1,3,0
1492,1,59,arrieros,72,60,1,124,109,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,60,arrieros,72,60,1,121,121,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,61,arrieros,72,60,1,118,133,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,62,arrieros,72,60,1,120,144,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,63,arrieros,72,60,1,117,155,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,64,arrieros,72,60,1,122,166,0,0,0,32,58,0,0,0,2,1,3,0
1492,1,65,arrieros,72,60,1,118,165,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,66,arrieros,72,60,1,122,164,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,67,arrieros,72,60,1,117,163,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,68,arrieros,72,60,1,120,162,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,69,arrieros,72,60,1,115,161,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,70,arrieros,72,60,1,118,160,0,0,0,20,46,0,0,0,2,1,3,0
1492,1,71,arrieros,72,60,1,118,151,0,0,0,12,38,0,0,0,2,1,3,0
1492,1,72,arrieros,72,60,1,90,143,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,73,arrieros,72,60,1,91,133,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,74,arrieros,72,60,1,103,123,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,75,arrieros,72,60,1,105,114,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,76,arrieros,72,60,1,112,105,0,0,0,12,32,0,0,0,2,1,3,0
1492,1,77,arrieros,72,60,1,107,100,0,0,0,16,36,0,0,0,2,1,3,0
1492,1,78,arrieros,72,60,1,116,99,0,0,0,20,46,0,0,0,2,1,4,0
1492,1,79,arrieros,72,60,1,86,65,0,0,0,20,46,0,0,0,2,1,6,0
1492,1,80,arrieros,72,60,1,116,72,0,0,0,20,46,0,0,0,2,1,4,0
1492,1,81,arrieros,118,90,2,60,74,0,0,0,20,46,0,0,0,3,1,5,0
1492,1,82,arrieros,118,90,2,98,53,0,0,0,20,52,0,0,0,3,1,9,0
1492,1,83,arrieros,118,91,2,90,65,0,0,0,40,72,0,1,0,3,1,4,0
1492,1,84,arrieros,118,92,2,81,83,0,0,0,41,73,0,0,0,3,1,3,0
1492,1,85,arrieros,118,93,2,82,97,0,0,0,41,73,0,1,0,3,1,3,0
