criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,118.56540084388186,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 281 sobre una mediana exacta de 237"
"prestigio","casa y partida","1492","canteros",,183.1223628691983,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 434 sobre una mediana exacta de 237"
"prestigio","casa y partida","1492","ferrones",,68.35443037974683,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 162 sobre una mediana exacta de 237"
"prestigio","casa y partida","1492","hortelanos",,266.6666666666667,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 632 sobre una mediana exacta de 237"
"prestigio","casa y partida","1492","mercaderes",,81.43459915611814,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 193 sobre una mediana exacta de 237"
"prestigio","casa y partida","1492","mesta",,16.877637130801688,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 40 sobre una mediana exacta de 237"
"prestigio","casa y partida","1492","monjes",,360.337552742616,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 854 sobre una mediana exacta de 237"
"prestigio","casa y partida","1492","salineros",,-8.016877637130802,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -19 sobre una mediana exacta de 237"
"actividad","casa y partida","1492","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,0.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0.5,"% de turnos sin decisión útil","< 10 %","cumple","","1 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mesta",,4.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","9 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","monjes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","monjes",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","salineros",,94,"% de turnos sin proponer órdenes","< 10 %","incumple","","188 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","salineros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"escasez","casa y partida","1492","arrieros",,4.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","9 de 200 turnos"
"escasez","casa y partida","1492","canteros",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492","ferrones",,7,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","14 de 200 turnos"
"escasez","casa y partida","1492","hortelanos",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492","mercaderes",,1,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","2 de 200 turnos"
"escasez","casa y partida","1492","mesta",,12,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","24 de 200 turnos"
"escasez","casa y partida","1492","monjes",,1.5,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","3 de 200 turnos"
"escasez","casa y partida","1492","salineros",,39.5,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","79 de 200 turnos"
"precios","partida","1492","",,0,"turnos seguidos de mercado abierto en un extremo","< 10 turnos","cumple","","ningún precio se quedó más de un turno en un extremo"
"tierra","partida","1492","",,46.63461538461539,"% de comarcas del mapa jugado que no toca nadie","< 5 %","incumple","T-049: el mapa jugado tiene que ser el recorte de la partida","97 de 208 comarcas sin tocar"
"ausencia","casa y partida","1492","arrieros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 214 · a mano 214 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","arrieros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 308 · a mano 308 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","canteros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 317 · a mano 317 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","canteros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 399 · a mano 399 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","ferrones",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 33 · a mano 33 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","ferrones",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 11 · a mano 11 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","hortelanos",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 457 · a mano 457 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","hortelanos",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 814 · a mano 814 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mercaderes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 120 · a mano 120 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mercaderes",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 168 · a mano 168 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mesta",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 24 · a mano 24 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","mesta",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 5 · a mano 5 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","monjes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 360 · a mano 360 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","monjes",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 708 · a mano 708 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","salineros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques -12 · a mano -12 · el dominio coincide turno a turno"
"ausencia","casa y partida","1492","salineros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 7 · a mano 7 · el dominio coincide turno a turno"
"dominio","partida","1492","",,48,"turno del primer «Un pequeño dominio»","60–100 turnos (extremos incluidos)","incumple","","3 de 8 casas lo alcanzan; la primera en T48"
"obra mayor","partida","1492","",,89,"turno de la primera obra mayor terminada","80–130 turnos (extremos incluidos)","cumple","","2 de 8 casas lo alcanzan; la primera en T89"
"prestigio","casa y partida","1492-2","arrieros",,89.9581589958159,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 215 sobre una mediana exacta de 239"
"prestigio","casa y partida","1492-2","canteros",,182.00836820083683,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 435 sobre una mediana exacta de 239"
"prestigio","casa y partida","1492-2","ferrones",,43.09623430962343,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 103 sobre una mediana exacta de 239"
"prestigio","casa y partida","1492-2","hortelanos",,300.418410041841,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 718 sobre una mediana exacta de 239"
"prestigio","casa y partida","1492-2","mercaderes",,79.4979079497908,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 190 sobre una mediana exacta de 239"
"prestigio","casa y partida","1492-2","mesta",,19.665271966527197,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 47 sobre una mediana exacta de 239"
"prestigio","casa y partida","1492-2","monjes",,332.21757322175733,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 794 sobre una mediana exacta de 239"
"prestigio","casa y partida","1492-2","salineros",,110.0418410041841,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 263 sobre una mediana exacta de 239"
"actividad","casa y partida","1492-2","arrieros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-2","canteros",,3,"% de turnos sin proponer órdenes","< 10 %","cumple","","6 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-2","ferrones",,16.5,"% de turnos sin proponer órdenes","< 10 %","incumple","","33 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","ferrones",,12.5,"% de turnos sin decisión útil","< 10 %","incumple","","25 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-2","hortelanos",,2.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","5 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-2","mercaderes",,0,"% de turnos sin proponer órdenes","< 10 %","cumple","","0 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-2","mesta",,5,"% de turnos sin proponer órdenes","< 10 %","cumple","","10 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-2","monjes",,3,"% de turnos sin proponer órdenes","< 10 %","cumple","","6 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","monjes",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-2","salineros",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-2","salineros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"escasez","casa y partida","1492-2","arrieros",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492-2","canteros",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492-2","ferrones",,15,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","30 de 200 turnos"
"escasez","casa y partida","1492-2","hortelanos",,0,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","0 de 200 turnos"
"escasez","casa y partida","1492-2","mercaderes",,2.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","5 de 200 turnos"
"escasez","casa y partida","1492-2","mesta",,12,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","24 de 200 turnos"
"escasez","casa y partida","1492-2","monjes",,3.5,"% de turnos con escasez","2–15 % (extremos incluidos)","cumple","","7 de 200 turnos"
"escasez","casa y partida","1492-2","salineros",,16.5,"% de turnos con escasez","2–15 % (extremos incluidos)","incumple","","33 de 200 turnos"
"precios","partida","1492-2","",,0,"turnos seguidos de mercado abierto en un extremo","< 10 turnos","cumple","","ningún precio se quedó más de un turno en un extremo"
"tierra","partida","1492-2","",,37.98076923076923,"% de comarcas del mapa jugado que no toca nadie","< 5 %","incumple","T-049: el mapa jugado tiene que ser el recorte de la partida","79 de 208 comarcas sin tocar"
"ausencia","casa y partida","1492-2","arrieros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 162 · a mano 162 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","arrieros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 219 · a mano 219 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","canteros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 317 · a mano 317 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","canteros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 399 · a mano 399 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","ferrones",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 39 · a mano 39 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","ferrones",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 17 · a mano 17 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","hortelanos",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 456 · a mano 456 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","hortelanos",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 814 · a mano 814 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","mercaderes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 97 · a mano 97 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","mercaderes",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 153 · a mano 153 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","mesta",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 42 · a mano 42 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","mesta",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 17 · a mano 17 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","monjes",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 368 · a mano 368 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","monjes",200,1.5,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 504 · a mano 512 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","salineros",100,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 132 · a mano 132 · el dominio se separa en T157"
"ausencia","casa y partida","1492-2","salineros",200,0,"% de diferencia de prestigio con el mismo plan","< 5 %","cumple","","por bloques 323 · a mano 323 · el dominio se separa en T157"
"dominio","partida","1492-2","",,43,"turno del primer «Un pequeño dominio»","60–100 turnos (extremos incluidos)","incumple","","3 de 8 casas lo alcanzan; la primera en T43"
"obra mayor","partida","1492-2","",,87,"turno de la primera obra mayor terminada","80–130 turnos (extremos incluidos)","cumple","","1 de 8 casas lo alcanzan; la primera en T87"
"prestigio","casa y partida","1492-3","arrieros",,98.5576923076923,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 205 sobre una mediana exacta de 208"
"prestigio","casa y partida","1492-3","canteros",,192.30769230769232,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 400 sobre una mediana exacta de 208"
"prestigio","casa y partida","1492-3","ferrones",,79.8076923076923,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 166 sobre una mediana exacta de 208"
"prestigio","casa y partida","1492-3","hortelanos",,381.25,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 793 sobre una mediana exacta de 208"
"prestigio","casa y partida","1492-3","mercaderes",,101.4423076923077,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 211 sobre una mediana exacta de 208"
"prestigio","casa y partida","1492-3","mesta",,30.28846153846154,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 63 sobre una mediana exacta de 208"
"prestigio","casa y partida","1492-3","monjes",,337.5,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 702 sobre una mediana exacta de 208"
"prestigio","casa y partida","1492-3","salineros",,89.90384615384616,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 187 sobre una mediana exacta de 208"
"actividad","casa y partida","1492-3","arrieros",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-3","arrieros",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-3","canteros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-3","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-3","ferrones",,4,"% de turnos sin proponer órdenes","< 10 %","cumple","","8 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492-3","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492-3","hortelanos",,2.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","5 de 200 turnos en que entró el robot"
