criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1212","arrieros",,96.85362517099863,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 354 sobre una mediana exacta de 365,5"
"prestigio","casa y partida","1212","canteros",,103.14637482900137,"% de la mediana","80–120 % de la mediana (extremos incluidos)","cumple","","prestigio 377 sobre una mediana exacta de 365,5"
"prestigio","casa y partida","1212","ferrones",,-2.462380300957592,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio -9 sobre una mediana exacta de 365,5"
"prestigio","casa y partida","1212","hortelanos",,338.4404924760602,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 1237 sobre una mediana exacta de 365,5"
"prestigio","casa y partida","1212","mercaderes",,51.98358413132695,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 190 sobre una mediana exacta de 365,5"
"prestigio","casa y partida","1212","mesta",,171.81942544459645,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 628 sobre una mediana exacta de 365,5"
"prestigio","casa y partida","1212","monjes",,189.3296853625171,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 692 sobre una mediana exacta de 365,5"
"prestigio","casa y partida","1212","salineros",,42.95485636114911,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 157 sobre una mediana exacta de 365,5"
"actividad","casa y partida","1212","arrieros",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","arrieros",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","canteros",,1,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","canteros",,1,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","ferrones",,3.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","7 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","ferrones",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","hortelanos",,2,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","hortelanos",,2,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mercaderes",,0.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","mercaderes",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","mesta",,4.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","9 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","mesta",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1212","monjes",,1.5,"% de turnos sin proponer órdenes","< 10 %","cumple","","3 de 200 turnos en que entró el robot"
"decisiones útiles","casa y partida","1212","monjes",,1.5,"% de turnos sin decisión útil","< 10 %","cumple","","3 de 200 turnos sin ninguna orden que trabajara ni plan en marcha"
