criterio,ambito,semilla,casa,turno,observado,unidad,objetivo,estado,precondicion,detalle
"prestigio","casa y partida","1492","arrieros",,122.8310502283105,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 269 sobre una mediana exacta de 219"
"prestigio","casa y partida","1492","canteros",,171.68949771689498,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 376 sobre una mediana exacta de 219"
"prestigio","casa y partida","1492","ferrones",,70.31963470319634,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 154 sobre una mediana exacta de 219"
"prestigio","casa y partida","1492","hortelanos",,241.0958904109589,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 528 sobre una mediana exacta de 219"
"prestigio","casa y partida","1492","mercaderes",,77.1689497716895,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 169 sobre una mediana exacta de 219"
"prestigio","casa y partida","1492","mesta",,21.91780821917808,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 48 sobre una mediana exacta de 219"
"prestigio","casa y partida","1492","monjes",,294.9771689497717,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 646 sobre una mediana exacta de 219"
"prestigio","casa y partida","1492","salineros",,3.1963470319634704,"% de la mediana","80–120 % de la mediana (extremos incluidos)","incumple","","prestigio 7 sobre una mediana exacta de 219"
"actividad","casa y partida","1492","arrieros",,2.484472049689441,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 161 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","arrieros",,2.484472049689441,"% de turnos sin decisión útil","< 10 %","cumple","","4 de 161 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","canteros",,1.2422360248447204,"% de turnos sin proponer órdenes","< 10 %","cumple","","2 de 161 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","canteros",,1.2422360248447204,"% de turnos sin decisión útil","< 10 %","cumple","","2 de 161 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","ferrones",,6.211180124223603,"% de turnos sin proponer órdenes","< 10 %","cumple","","10 de 161 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","ferrones",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 161 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","hortelanos",,2.484472049689441,"% de turnos sin proponer órdenes","< 10 %","cumple","","4 de 161 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","hortelanos",,0,"% de turnos sin decisión útil","< 10 %","cumple","","0 de 161 turnos sin ninguna orden que trabajara ni plan en marcha"
"actividad","casa y partida","1492","mercaderes",,0.6211180124223602,"% de turnos sin proponer órdenes","< 10 %","cumple","","1 de 161 turnos en que entró el robot"
"decisiones útiles","casa y partida","1492","mercaderes",,0.6211180124223602,"% de turnos sin decisión útil","< 10 %","cumple","","1 de 161 turnos sin ninguna orden que trabajara ni plan en marcha"
