casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,136
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,75
arrieros,capitulo_industria,0
arrieros,capitulo_obras,0
arrieros,capitulo_poblacion,38
arrieros,capitulo_territorio,24
arrieros,cargasArbitradas,0
arrieros,comarcas,3
arrieros,comarcasIncorporadas,2
arrieros,edificio_granja,5444
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,271
arrieros,lanaEsquilada,0
arrieros,maravedis,89
arrieros,margenDeNegocios,0
arrieros,margenNetoDeNegocios,0
arrieros,negocios,0
arrieros,negociosRentables,0
arrieros,obrasMayores,0
arrieros,obrasTerminadas,9
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,645
arrieros,ordenesEnEspera,159
arrieros,ordenesPropuestas,631
arrieros,ordenesTerminadas,637
arrieros,partidasSinObraMayor,1
arrieros,poblacion,194
arrieros,prestigio,269
arrieros,primeraObraMayor,0
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,0
arrieros,producido_maravedis,4483
arrieros,producido_pan,5444
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,4
arrieros,trashumancias,0
arrieros,turnosConEscasez,4
arrieros,turnosDeDecision,161
arrieros,turnosSinOrdenes,4
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,5
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,0
arrieros,ventasFuera,0
arrieros,ventasSinCompra,5
arrieros,volumenComerciado,814
arrieros,volumenEnRuta,0
arrieros,prestigio_sobre_mediana_mil,1228
arrieros,prestigio_entrando_cada_seis,225
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,112
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,115
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,21
canteros,capitulo_territorio,8
canteros,cargasArbitradas,0
canteros,comarcas,1
canteros,comarcasIncorporadas,0
canteros,edificio_cantera,425
canteros,edificio_granja,4671
canteros,indicioDeArbitraje,0
canteros,ingresosDeFeria,0
